region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States Virgin Islands,3401.991514,3421.352952,3436.82716,3449.292798,3459.021673,3467.251866,3472.283851,3475.910067,3475.46915,3475.720688
Uruguay,116501.5951,117410.7432,118294.5566,119173.0278,120086.7182,121013.3715,121976.9874,122948.1574,123877.3636,124845.7239
Uzbekistan,707295.301,720286.9407,735065.9575,750273.23,765524.1851,780104.4402,795292.0348,809819.4957,825223.667,840537.8397
Vanuatu,5831.900139,6006.99102,6173.575466,6335.082284,6494.588008,6649.376609,6796.633972,6938.956725,7083.439713,7224.568438
Venezuela,693962.2125,711034.7667,728820.1995,746876.7452,764366.6156,780951.3076,798406.2883,815866.9182,833090.2834,849617.405
Vietnam,2412427.578,2458846.623,2504703.697,2551202.67,2598599.103,2644177.362,2690256.217,2736264.676,2781776.026,2828343.511
Wales,131110.0857,131575.6066,132215.0306,132949.9568,133683.0421,134368.554,135077.3089,135794.4734,136581.533,137415.3475
Yemen,706489.3822,731680.7577,757487.9692,784299.8123,811564.9137,839862.0392,868423.2722,897918.2497,928047.4249,958095.875
Zambia,296299.1773,307224.2101,319289.746,332467.2171,347086.8716,362804.3231,379856.3391,397792.3334,417466.9048,438079.1993
Zimbabwe,277629.9106,280608.03,284675.1036,289806.8916,296301.4781,303564.6036,311665.7693,320638.5072,330437.3538,340583.1574
